label,text
Kültür ve Sosyal İşler Müdürlüğü,"Sayın yetkili, Kurslara kayıt olmak istiyorum ama kontenjan dolu. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi."
Park ve Bahçeler Müdürlüğü,"Parkta oturacak bank yok, yaşlılar dinlenemiyor. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi."
Veteriner İşleri Müdürlüğü,"Belediyeye iletmek istiyorum: Hayvan barınağındaki şartlar çok kötü, denetim yapılmalı. Yetkili ekiplerin acilen müdahale etmesi gerekiyor."
Bilgi İşlem Müdürlüğü,"Merhaba, Kiosk ekranı çalışmıyor, hizmet alamadım. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi."
İnsan Kaynakları ve Eğitim Müdürlüğü,"Personel hizmet içi eğitim almalı, yetersizlik görülüyor. Gerekli kontrollerin yapılmasını rica ediyoruz."
Su ve Kanalizasyon Müdürlüğü,"Belediyeye iletmek istiyorum: Ana boru patladı, sokak sular altında kaldı. Uzun süredir bu sorunla karşı karşıyayız, lütfen ilgilenilsin."
Bilgi İşlem Müdürlüğü,Belediyeye iletmek istiyorum: Randevu sistemine giriş yapılamıyor. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi.
Zabıta Müdürlüğü,Sokakta sürekli dilenen kişiler halkı rahatsız ediyor. Bu konuda ivedilikle işlem yapılması bekleniyor.
Sosyal Yardım İşleri Müdürlüğü,Engelli kardeşim için destek hizmetlerinden yararlanmak istiyoruz. Bu konuda ivedilikle işlem yapılması bekleniyor.
Bilgi İşlem Müdürlüğü,"Merhaba, Kiosk ekranı çalışmıyor, hizmet alamadım. Gerekli kontrollerin yapılmasını rica ediyoruz."
Su ve Kanalizasyon Müdürlüğü,"Merhaba, Yağmur sonrası rögarlar taştı, yollarda su birikti. Yetkili ekiplerin acilen müdahale etmesi gerekiyor."
Mali Hizmetler Müdürlüğü,"Merhaba, Fatura kesiminde isim yanlış yazılmış. Yetkili ekiplerin acilen müdahale etmesi gerekiyor."
Temizlik İşleri Müdürlüğü,"Merhaba, Çöp konteyneri kırılmış, çöpler dışarı taşıyor ve kötü koku yayıyor. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi."
Hukuk İşleri Müdürlüğü,"Belediyeden gelen cezaya itiraz etmek istiyorum, bilgi verilmiyor. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi."
Mali Hizmetler Müdürlüğü,"Merhaba, Geçmiş borç bilgilerine ulaşamıyorum. Sürekli ertelenen bu sorun artık kronik hale geldi."
Temizlik İşleri Müdürlüğü,"Geri dönüşüm kutuları düzenli toplanmadığı için çöpler yerlere atılıyor. Uzun süredir bu sorunla karşı karşıyayız, lütfen ilgilenilsin."
Zabıta Müdürlüğü,Belediyeye iletmek istiyorum: Gece geç saatlerde açık olan işletmelerden yüksek ses geliyor. Gerekli kontrollerin yapılmasını rica ediyoruz.
Çevre Koruma ve Kontrol Müdürlüğü,"Sayın yetkili, Haşere ilaçlaması düzenli yapılmıyor. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi."
Ulaşım Hizmetleri Müdürlüğü,Belediyeye iletmek istiyorum: Bisiklet yolu çizgileri silinmiş durumda. Gerekli kontrollerin yapılmasını rica ediyoruz.
Ruhsat ve Denetim Müdürlüğü,"Yan binadaki kafe ruhsatsız çalışıyor. Uzun süredir bu sorunla karşı karşıyayız, lütfen ilgilenilsin."
Sosyal Yardım İşleri Müdürlüğü,Belediyeye iletmek istiyorum: Evsiz bir vatandaş haftalardır sokakta kalıyor. Sürekli ertelenen bu sorun artık kronik hale geldi.
Temizlik İşleri Müdürlüğü,"Sayın yetkili, Çöp konteyneri kırılmış, çöpler dışarı taşıyor ve kötü koku yayıyor. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi."
Fen İşleri Müdürlüğü,"Sayın yetkili, Aydınlatma direği haftalardır yanmıyor, sokak geceleri karanlık oluyor. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi."
Çevre Koruma ve Kontrol Müdürlüğü,"Sayın yetkili, Hava kirliliği nedeniyle çocuklar dışarı çıkamıyor. Komşularla birlikte imza toplayarak şikayet oluşturduk."
Mali Hizmetler Müdürlüğü,Online ödeme sisteminde borç gözükmüyor. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi.
Ulaşım Hizmetleri Müdürlüğü,"Merhaba, Bisiklet yolu çizgileri silinmiş durumda. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi."
Hukuk İşleri Müdürlüğü,"Sayın yetkili, Dava süreciyle ilgili bilgi talep ettim, dönüş olmadı. Gerekli kontrollerin yapılmasını rica ediyoruz."
Mali Hizmetler Müdürlüğü,"Belediyeye iletmek istiyorum: Emlak vergisi çok yüksek geldi, itiraz etmek istiyorum. Uzun süredir bu sorunla karşı karşıyayız, lütfen ilgilenilsin."
Fen İşleri Müdürlüğü,"Belediyeye iletmek istiyorum: Aydınlatma direği haftalardır yanmıyor, sokak geceleri karanlık oluyor. Sürekli ertelenen bu sorun artık kronik hale geldi."
Kültür ve Sosyal İşler Müdürlüğü,"Merhaba, Kurslara kayıt olmak istiyorum ama kontenjan dolu. Komşularla birlikte imza toplayarak şikayet oluşturduk."
Su ve Kanalizasyon Müdürlüğü,"Belediyeye iletmek istiyorum: Kanalizasyon tıkanıklığı nedeniyle kötü koku var. Sorunun çözülmesi, yaşam kalitemizi doğrudan etkileyecek."
Temizlik İşleri Müdürlüğü,Belediyeye iletmek istiyorum: Geri dönüşüm kutuları düzenli toplanmadığı için çöpler yerlere atılıyor. Sürekli ertelenen bu sorun artık kronik hale geldi.
Temizlik İşleri Müdürlüğü,Çöp arabası saatinde gelmediği için hayvanlar çöpleri dağıttı. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi.
Veteriner İşleri Müdürlüğü,Hayvan saldırısı sonrası müdahale ekibi gelmedi. Yetkili ekiplerin acilen müdahale etmesi gerekiyor.
İmar ve Şehircilik Müdürlüğü,"Belediyeye iletmek istiyorum: İnşaatlar gece geç saatlere kadar çalışıyor, gürültü rahatsız edici. Bu sıkıntı nedeniyle günlük hayatımız oldukça zorlaştı."
Sosyal Yardım İşleri Müdürlüğü,"Sayın yetkili, Kış ayında yakacak yardımı yapılmadı, mağdur durumdayız. Gerekli kontrollerin yapılmasını rica ediyoruz."
Bilgi İşlem Müdürlüğü,Randevu sistemine giriş yapılamıyor. Bu sıkıntı nedeniyle günlük hayatımız oldukça zorlaştı.
Temizlik İşleri Müdürlüğü,"Belediyeye iletmek istiyorum: Geri dönüşüm kutuları düzenli toplanmadığı için çöpler yerlere atılıyor. Uzun süredir bu sorunla karşı karşıyayız, lütfen ilgilenilsin."
